NOTE  |Author: Prabesh 杰诗 - ver. 1.9 - 2018-01-24
NOTE  |Troops and spell what i made and tested
NOTE  |I am maing a csv that will have all the ground troops 
NOTE  |Still i will be focusing on the GiBarch mainly 

      |---------------------------------------- PrabeshRajJk script start -----------------------------|
  
   
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|                   
SIDE  |0          |0          |6          |0          |0          |4          |0          |           |


      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|
MAKE  |A          |RIGHT-BACK |10         |-11        |EXT-INT    |0          |0          |           |vector for Earth quakes 
MAKE  |B          |RIGHT-BACK |10         |1          |EXT-INT    |2          |1          |           |vector for 1st wave of troops on right back side
MAKE  |C          |RIGHT-FRONT|10         |1          |INT-EXT    |2          |3          |           |vector for 2nd wave of troops on right front side

MAKE  |D          |RIGHT-FRONT|10         |1          |EXT-INT    |2          |1          |           |vector for Clan castle troops
MAKE  |E          |RIGHT-FRONT|10         |1          |EXT-INT    |2          |1          |           |vector for KING
MAKE  |F          |RIGHT-FRONT|10         |2          |EXT-INT    |2          |1          |           |vector for WARDEN
MAKE  |G          |RIGHT-FRONT|10         |2          |EXT-INT    |2          |1          |           |vector for QUEEN 

MAKE  |H          |RIGHT-BACK |10         |2          |EXT-INT    |2          |3          |           |vector for 3rd wave of troops on right front side 
MAKE  |I          |RIGHT-FRONT|10         |1          |INT-EXT    |2          |3          |           |vector for 3rd wave of troops on right front side

MAKE  |P          |RIGHT-BACK |10         |-6         |INT-EXT    |0          |0          |           |vector for 1st Poison Spell
MAKE  |R          |RIGHT-BACK |10         |-6         |INT-EXT    |0          |0          |           |vector for 1st Rage spell
MAKE  |S          |RIGHT-BACK |10         |-11        |INT-EXT    |0          |0          |           |vector for 1st Skeleton Spell
MAKE  |R          |RIGHT-BACK |10         |-6         |INT-EXT    |0          |0          |           |vector for 1st Rage spell

MAKE  |U          |RIGHT-BACK |10         |-5         |INT-EXT    |0          |0          |           |vector for 1st haste 
MAKE  |V          |RIGHT-BACK |10         |-8         |INT-EXT    |5          |0          |           |vector for 2st haste
MAKE  |W          |RIGHT-FRONT|10         |-8         |INT-EXT    |0          |0          |           |vector for 3rd haste
MAKE  |X          |LEFT-BACK  |10         |-14        |INT-EXT    |0          |0          |           |vector for 4th haste

MAKE  |Y          |RIGHT-FRONT|10         |-13        |INT-EXT    |0          |0          |           |vector for 1st heal
MAKE  |Z          |FRONT-RIGHT|10         |-17        |INT-EXT    |0          |0          |           |vector for 2nd heal



      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|  
	  
DROP  |A          |1          |4          |Espell     |20-400     |0          |500-600    |           | Dropping Earth quakes 

RECALC|           |           |           |           |           |           |           |           |recalculate remaining troops 

DROP  |A          |1          |4          |Espell     |20-400     |10         |200-300    |           | Dropping quakes 
DROP  |B          |1-10       |50%        |Giant      |50-400     |1          |100-1000   |           | Dropping 1st wave of Giants
DROP  |C          |1-10       |50%        |Giant      |50-400     |1          |100-1000   |           | Dropping 1st wave of Giants
DROP  |B-C        |1          |2          |wall       |10-20      |3          |100-500    |           | Dropping 1st wave of wall breakers
DROP  |B          |1-10       |50%        |Valk       |10-20      |40-70      |100-1000   |           | Dropping 1st wave of Valkery 
DROP  |C          |1-10       |50%        |Valk       |10-20      |40-70      |100-1000   |           | Dropping 1st wave of Valkery 
DROP  |B          |1-10       |50%        |Hogs       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of hogs      
DROP  |C          |1-10       |50%        |Hogs       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of hogs      
DROP  |B          |1-10       |50%        |Pekk       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of pekka   
DROP  |C          |1-10       |50%        |Pekk       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of pekka   
DROP  |B          |1-10       |50%        |Gole       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of gole       
DROP  |C          |1-10       |50%        |Gole       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of gole       
DROP  |B          |1-10       |50%        |Mine       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of miners    
DROP  |C          |1-10       |50%        |Mine       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of miners    
DROP  |B          |1-10       |50%        |Bowl       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of bowlers  
DROP  |C          |1-10       |50%        |Bowl       |30-50      |40-70      |100-1000   |           | Dropping 1st wave of bowlers  
DROP  |B          |1-10       |30%        |Barb       |50-70      |40-70      |100-1000   |           | Dropping 1st wave of Barbarian
DROP  |C          |1-10       |30%        |Barb       |50-70      |40-70      |100-1000   |           | Dropping 1st wave of Barbarian
DROP  |B          |1-10       |30%        |Wiza       |50-70      |40-70      |100-1000   |           | Dropping 1st wave of Wizards
DROP  |C          |1-10       |30%        |Wiza       |50-70      |40-70      |100-1000   |           | Dropping 1st wave of Wizards
DROP  |B          |1-10       |30%        |Arch       |50-70      |40-70      |100-1000   |           | Dropping 1st wave of Archer
DROP  |C          |1-10       |30%        |Arch       |50-70      |40-70      |100-1000   |           | Dropping 1st wave of Archer

DROP  |U          |1          |1          |haspell    |1          |0          |300-500    |           | Dropping 1st haste Spell
DROP  |U          |1          |1          |pspell     |1          |0          |300-500    |           | Dropping 1st Poison Spell
DROP  |R          |1          |1          |Rspell     |1          |0          |300-500    |           | Dropping 1st Rage Spell
DROP  |S          |1          |1          |Skspell    |1          |0          |300-500    |           | Dropping 1st Skeleton Spell

WAIT  |1000-3000  |           |           |           |           |           |           |           |

DROP  |V          |3          |1          |haspell    |10         |0          |2000-3000  |           | Dropping 2nd Haste Spell
DROP  |Y          |1          |1          |HSpell     |100-500    |0          |1000-1500  |           | Dropping 1st Heal Spell

DROP  |D          |1          |1          |Castle     |110-500    |0          |100        |           | Dropping Castle Troops
DROP  |E          |2          |1          |King       |100-500    |100        |100-200    |           | Dropping KING
DROP  |F          |1          |1          |Warden     |100-500    |100        |100-300    |           | Drop of Warden
DROP  |G          |2          |1          |Queen      |50-500     |100        |50-300     |           | Dropping Queen


WAIT  |180-500    |           |           |           |           |           |           |           |
DROP  |H          |1-10       |50%        |Giant      |50-400     |1          |100-1000   |           | Dropping 2nd wave of Giants
DROP  |H          |1-10       |50%        |Giant      |50-400     |1          |100-1000   |           | Dropping 2nd wave of Giants
DROP  |H-I        |1          |2          |wall       |10-20      |3          |100-500    |           | Dropping 2nd wave of wall breakers
DROP  |I          |1-10       |50%        |Valk       |10-20      |40-70      |100-1000   |           | Dropping 2nd wave of Valkery 
DROP  |H          |1-10       |50%        |Valk       |10-20      |40-70      |100-1000   |           | Dropping 2nd wave of Valkery 
DROP  |H          |1-10       |50%        |Hogs       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of hogs      
DROP  |I          |1-10       |50%        |Hogs       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of hogs      
DROP  |H          |1-10       |50%        |Pekk       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of pekka   
DROP  |I          |1-10       |50%        |Pekk       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of pekka   
DROP  |H          |1-10       |50%        |Gole       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of gole       
DROP  |I          |1-10       |50%        |Gole       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of gole       
DROP  |H          |1-10       |50%        |Mine       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of miners    
DROP  |I          |1-10       |50%        |Mine       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of miners    
DROP  |H          |1-10       |50%        |Bowl       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of bowlers  
DROP  |I          |1-10       |50%        |Bowl       |30-50      |40-70      |100-1000   |           | Dropping 2nd wave of bowlers  
DROP  |W          |4          |1          |haspell    |100-500    |0          |300        |           | Dropping 3rd haste Spell
DROP  |Z          |1          |1          |HSpell     |100-500    |0          |1000-1500  |           | Dropping 2nd Heal Spell
DROP  |H-I        |1-10       |30%        |Barb       |50-70      |40-70      |100-1000   |           | Dropping 2nd wave of Barbarian
DROP  |H-I        |1-10       |30%        |Wiza       |50-70      |40-70      |100-1000   |           | Dropping 2nd wave of Wizards
DROP  |H-I        |1-10       |30%        |Arch       |50-70      |40-70      |100-1000   |           | Dropping 2nd wave of Archer

RECALC|           |           |           |           |           |           |           |           | recalculate remaining troops 


DROP  |X          |1          |1          |haspell    |100-500    |0          |300        |           | Dropping 4th haste Spell


      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|DROP REMAINING

DROP  |B-C-H-I    |6          |10         |giant      |30-50      |40-70      |100-600    |           | Dropping giants using all 4 vectors concurrently... 4 giant
